date,nav,fund_code,fund_name,category
2014-03-04,21.076,118825,Mirae Asset Large Cap Fund,Large Cap
2014-03-05,21.211,118825,Mirae Asset Large Cap Fund,Large Cap
2014-03-06,21.403,118825,Mirae Asset Large Cap Fund,Large Cap
2014-03-07,21.661,118825,Mirae Asset Large Cap Fund,Large Cap
2014-03-10,21.636,118825,Mirae Asset Large Cap Fund,Large Cap
2014-03-11,21.571,118825,Mirae Asset Large Cap Fund,Large Cap
2014-03-12,21.609,118825,Mirae Asset Large Cap Fund,Large Cap
2014-03-13,21.482,118825,Mirae Asset Large Cap Fund,Large Cap
2014-03-14,21.489,118825,Mirae Asset Large Cap Fund,Large Cap
2014-03-18,21.595,118825,Mirae Asset Large Cap Fund,Large Cap
2014-03-19,21.627,118825,Mirae Asset Large Cap Fund,Large Cap
2014-03-20,21.504,118825,Mirae Asset Large Cap Fund,Large Cap
2014-03-21,21.569,118825,Mirae Asset Large Cap Fund,Large Cap
2014-03-24,21.806,118825,Mirae Asset Large Cap Fund,Large Cap
2014-03-25,21.867,118825,Mirae Asset Large Cap Fund,Large Cap
2014-03-26,21.945,118825,Mirae Asset Large Cap Fund,Large Cap
2014-03-27,22.069,118825,Mirae Asset Large Cap Fund,Large Cap
2014-03-28,22.294,118825,Mirae Asset Large Cap Fund,Large Cap
2014-03-31,22.339,118825,Mirae Asset Large Cap Fund,Large Cap
2014-04-01,22.36,118825,Mirae Asset Large Cap Fund,Large Cap
2014-04-02,22.613,118825,Mirae Asset Large Cap Fund,Large Cap
2014-04-03,22.477,118825,Mirae Asset Large Cap Fund,Large Cap
2014-04-04,22.361,118825,Mirae Asset Large Cap Fund,Large Cap
2014-04-07,22.34,118825,Mirae Asset Large Cap Fund,Large Cap
2014-04-09,22.7,118825,Mirae Asset Large Cap Fund,Large Cap
2014-04-10,22.687,118825,Mirae Asset Large Cap Fund,Large Cap
2014-04-11,22.675,118825,Mirae Asset Large Cap Fund,Large Cap
2014-04-15,22.53,118825,Mirae Asset Large Cap Fund,Large Cap
2014-04-16,22.337,118825,Mirae Asset Large Cap Fund,Large Cap
2014-04-17,22.653,118825,Mirae Asset Large Cap Fund,Large Cap
2014-04-21,22.816,118825,Mirae Asset Large Cap Fund,Large Cap
2014-04-22,22.855,118825,Mirae Asset Large Cap Fund,Large Cap
2014-04-23,22.98,118825,Mirae Asset Large Cap Fund,Large Cap
2014-04-25,22.881,118825,Mirae Asset Large Cap Fund,Large Cap
2014-04-28,22.875,118825,Mirae Asset Large Cap Fund,Large Cap
2014-04-29,22.746,118825,Mirae Asset Large Cap Fund,Large Cap
2014-04-30,22.599,118825,Mirae Asset Large Cap Fund,Large Cap
2014-05-02,22.697,118825,Mirae Asset Large Cap Fund,Large Cap
2014-05-05,22.653,118825,Mirae Asset Large Cap Fund,Large Cap
2014-05-06,22.723,118825,Mirae Asset Large Cap Fund,Large Cap
2014-05-07,22.608,118825,Mirae Asset Large Cap Fund,Large Cap
2014-05-08,22.654,118825,Mirae Asset Large Cap Fund,Large Cap
2014-05-09,23.185,118825,Mirae Asset Large Cap Fund,Large Cap
2014-05-12,23.585,118825,Mirae Asset Large Cap Fund,Large Cap
2014-05-13,23.896,118825,Mirae Asset Large Cap Fund,Large Cap
2014-05-14,23.975,118825,Mirae Asset Large Cap Fund,Large Cap
2014-05-15,23.884,118825,Mirae Asset Large Cap Fund,Large Cap
2014-05-16,24.143,118825,Mirae Asset Large Cap Fund,Large Cap
2014-05-19,24.636,118825,Mirae Asset Large Cap Fund,Large Cap
2014-05-20,24.814,118825,Mirae Asset Large Cap Fund,Large Cap
2014-05-21,24.838,118825,Mirae Asset Large Cap Fund,Large Cap
2014-05-22,25.021,118825,Mirae Asset Large Cap Fund,Large Cap
2014-05-23,25.355,118825,Mirae Asset Large Cap Fund,Large Cap
2014-05-26,25.24,118825,Mirae Asset Large Cap Fund,Large Cap
2014-05-27,25.154,118825,Mirae Asset Large Cap Fund,Large Cap
2014-05-28,25.21,118825,Mirae Asset Large Cap Fund,Large Cap
2014-05-29,24.95,118825,Mirae Asset Large Cap Fund,Large Cap
2014-05-30,24.937,118825,Mirae Asset Large Cap Fund,Large Cap
2014-06-02,25.414,118825,Mirae Asset Large Cap Fund,Large Cap
2014-06-03,25.658,118825,Mirae Asset Large Cap Fund,Large Cap
2014-06-04,25.853,118825,Mirae Asset Large Cap Fund,Large Cap
2014-06-05,26.027,118825,Mirae Asset Large Cap Fund,Large Cap
